Variety,Commodity,Level-I,Exchange,TickSize,Multiplier,TickValue,Source,LongMarginRate(%),ShortMarginRate(%),PriceLimit,FixFee,PercentageFee,PercentageFeeSameDay
Ag(T+D),白银T+D,non-ferrous,sge,0.01,1000,10,csv,0.09,0.09,7.0,0.0,0.0002,0.0002
Au(T+D),黄金T+D,non-ferrous,sge,0.01,1000,10,csv,0.07,0.07,7.0,0.0,0.0002,0.0002
a,黄豆,agriculture,dlf,1.0,10,10,csv,0.07,0.07,5.0,2.0,0.0,0.0
ag,白银,non-ferrous,shf,1.0,15,15,csv,0.06,0.06,6.0,0.0,5e-05,5e-05
agtd,白银T+D,non-ferrous,sge,0.01,1000,10,csv,0.09,0.09,7.0,0.0,0.0002,0.0002
al,沪铝,non-ferrous,shf,5.0,5,25,csv,0.07,0.07,4.0,3.0,0.0,0.0
ap,苹果,agriculture,zzf,1.0,10,10,csv,0.11,0.11,5.0,4.5,0.0,0.0
au,黄金,non-ferrous,shf,0.05,1000,50,csv,0.05,0.05,5.0,5.0,0.0,0.0
autd,黄金T+D,non-ferrous,sge,0.01,1000,10,csv,0.07,0.07,7.0,0.0,0.0002,0.0002
b,豆二,agriculture,dlf,1.0,10,10,csv,0.07,0.07,4.0,2.0,0.0,0.0
bb,胶合板,energy,dlf,0.05,500,25,csv,0.2,0.2,5.0,0.0,0.0001,0.0001
bu,沥青,energy,shf,2.0,10,20,csv,0.08,0.08,6.0,0.0,0.0001,0.0001
c,玉米,agriculture,dlf,1.0,10,10,csv,0.05,0.05,5.0,1.2,0.0,0.0
cf,棉一,agriculture,zzf,5.0,5,25,csv,0.07,0.07,5.0,6.0,0.0,0.0
cs,玉米淀粉,agriculture,dlf,1.0,10,10,csv,0.05,0.05,5.0,1.5,0.0,0.0
cu,沪铜,non-ferrous,shf,10.0,5,50,csv,0.07,0.07,6.0,0.0,5e-05,5e-05
cy,棉纱,agriculture,zzf,5.0,5,25,csv,0.05,0.05,4.0,4.0,0.0,0.0
fb,纤维板,energy,dlf,0.05,500,25,csv,0.2,0.2,5.0,0.0,0.00015,0.00015
fg,玻璃,energy,zzf,1.0,20,20,csv,0.07,0.07,4.0,3.0,0.0,0.0
